Season	Outcome
2006	0
2006	1
2006	0
2006	0
2006	0
2006	0
2006	0
2006	0
2006	0
2006	0
2006	0
2006	1
2006	0
2006	0
2006	0
2006	0
2006	0
2006	0
2006	0
2006	0
2006	1
2006	0
2006	0
2006	0
2006	0
2006	0
2006	1
2006	0
2006	0
2006	0
2006	0
2006	0
2006	0
2006	0
2006	0
2006	0
2006	0
2006	0
2006	0
2006	0
2006	1
2006	1
2006	0
2006	0
2006	0
2006	0
2006	0
2006	0
2006	0
2006	1
2006	0
2006	1
2006	0
2006	0
2006	0
2006	1
2006	0
2006	1
2006	1
2006	1
2006	0
2006	0
2006	0
2006	0
2006	0
2006	0
2006	0
2006	0
2006	0
2006	1
2006	0
2006	1
2006	1
2006	0
2006	0
2006	0
2006	0
2006	0
2006	0
2006	1
2006	0
2006	0
2006	1
2006	0
2006	0
2006	0
2006	0
2006	0
2006	0
2007	1
2007	0
2007	1
2007	0
2007	0
2007	1
2007	0
2007	0
2007	1
2007	1
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	1
2007	1
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	1
2007	1
2007	1
2007	1
2007	1
2007	1
2007	0
2007	1
2007	0
2007	1
2007	0
2007	1
2007	0
2007	1
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	1
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	1
2007	0
2007	1
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	1
2007	1
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	1
2007	0
2007	1
2007	1
2007	1
2007	1
2007	0
2007	1
2007	0
2007	1
2007	1
2007	0
2007	1
2007	1
2007	1
2007	0
2007	1
2007	0
2007	1
2007	0
2007	1
2007	0
2007	0
2007	1
2007	1
2007	0
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	0
2007	1
2007	1
2007	0
2007	0
2007	0
2007	0
2007	1
2007	1
2007	1
2007	1
2007	1
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	1
2007	0
2007	1
2007	0
2007	0
2007	0
2007	1
2007	1
2007	0
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	1
2007	1
2007	0
2007	0
2007	0
2007	1
2007	0
2007	1
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	1
2007	1
2007	0
2007	1
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	1
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	1
2007	1
2007	0
2007	0
2007	1
2007	0
2007	0
2007	1
2007	1
2007	0
2007	1
2007	0
2007	1
2007	1
2007	0
2007	1
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	1
2007	0
2007	1
2007	1
2007	0
2007	0
2007	1
2007	1
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	1
2007	1
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	1
2007	1
2007	1
2007	0
2007	0
2007	1
2007	1
2007	1
2007	0
2007	1
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	1
2007	0
2007	0
2007	1
2007	0
2007	1
2007	0
2007	0
2007	1
2007	1
2007	1
2007	0
2007	0
2007	1
2007	0
2007	1
2007	0
2007	1
2007	0
2007	1
2007	0
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	1
2007	0
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	1
2007	0
2007	1
2007	1
2007	0
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	1
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	1
2007	1
2007	1
2007	1
2007	0
2007	0
2007	1
2007	0
2007	1
2007	1
2007	0
2007	1
2007	0
2007	1
2007	1
2007	1
2007	0
2007	0
2007	1
2007	0
2007	1
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	0
2007	1
2007	1
2007	0
2007	1
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	1
2007	1
2007	0
2007	0
2007	1
2007	1
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	0
2007	1
2007	0
2007	1
2007	1
2007	1
2007	0
2007	1
2007	0
2007	1
2007	0
2007	0
2007	0
2007	1
2007	0
2007	0
2007	0
2007	1
2007	0
2008	1
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	0
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	1
2008	1
2008	0
2008	0
2008	0
2008	0
2008	1
2008	1
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	1
2008	1
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	1
2008	1
2008	0
2008	0
2008	1
2008	1
2008	0
2008	1
2008	0
2008	1
2008	0
2008	1
2008	1
2008	0
2008	0
2008	0
2008	1
2008	0
2008	1
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	1
2008	1
2008	0
2008	1
2008	1
2008	0
2008	0
2008	1
2008	0
2008	1
2008	1
2008	1
2008	0
2008	1
2008	0
2008	0
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	1
2008	1
2008	0
2008	1
2008	1
2008	1
2008	1
2008	0
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	0
2008	0
2008	1
2008	0
2008	0
2008	0
2008	1
2008	0
2008	1
2008	1
2008	0
2008	0
2008	0
2008	1
2008	1
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	1
2008	0
2008	1
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	1
2008	1
2008	1
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	1
2008	1
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	0
2008	1
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	1
2008	1
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	0
2008	1
2008	0
2008	1
2008	0
2008	0
2008	1
2008	0
2008	1
2008	1
2008	1
2008	0
2008	0
2008	0
2008	0
2008	1
2008	1
2008	0
2008	1
2008	0
2008	1
2008	0
2008	0
2008	1
2008	1
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	1
2008	1
2008	1
2008	0
2008	0
2008	0
2008	1
2008	1
2008	0
2008	0
2008	1
2008	1
2008	1
2008	1
2008	0
2008	0
2008	1
2008	1
2008	0
2008	1
2008	1
2008	1
2008	1
2008	1
2008	0
2008	1
2008	1
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	1
2008	1
2008	1
2008	1
2008	0
2008	1
2008	1
2008	0
2008	0
2008	0
2008	0
2008	1
2008	1
2008	0
2008	0
2008	1
2008	1
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	0
2008	1
2008	1
2008	0
2008	0
2008	0
2008	0
2008	1
2008	1
2008	0
2008	0
2008	0
2008	0
2008	1
2008	1
2008	0
2008	0
2008	1
2008	1
2008	0
2008	0
2008	1
2008	1
2008	0
2008	0
2008	1
2008	0
2008	0
2008	1
2008	1
2008	1
2008	0
2008	1
2008	1
2008	0
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	0
2008	1
2008	0
2008	1
2008	0
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	1
2008	1
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	0
2008	0
2008	1
2008	1
2008	0
2008	0
2008	0
2008	1
2008	0
2008	0
2008	0
2008	1
2008	1
2008	0
2008	1
2008	0
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	1
2008	0
2008	1
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	1
2008	1
2008	1
2008	0
2008	1
2008	1
2008	0
2008	1
2008	0
2008	1
2008	0
2008	0
2008	1
2008	0
2008	1
2008	1
2008	0
2008	0
2008	0
2008	1
2008	0
2008	0
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	1
2008	0
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	1
2008	0
2008	1
2008	0
2008	0
2008	1
2008	0
2008	1
2008	1
2008	1
2008	1
2008	1
2008	1
2008	1
2008	1
2008	1
2008	0
2008	0
2008	0
2008	0
2008	0
2008	1
2008	1
2008	0
2008	1
2008	0
2008	1
2008	1
2008	1
2008	0
2008	1
2008	1
2008	1
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	1
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	1
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
2008	1
2008	0
2008	0
2008	0
2008	0
2008	0
2008	1
2008	0
